Year,Month,Rainfall,Lag1Rainfall,Lag2Rainfall,RH,MaxT,MinT,AvgT,Lag1AvgT,Lag2AvgT,DC,DD,DC1,GF,GFlog,Gfexp,RY,,,,,DCY,DDY,,,
2010,4,37.6,22.4,47.9,67.70416667,35.5,26.4,30.95,28.7,22.55,0,0,1,1,0,1,,,,,,,,,,
2010,5,203.7,37.6,22.4,72.01612903,34.3,25.9,30.1,30.95,28.7,0,0,1,1,0,1,,,,,,,,,,
2010,6,278.2,203.7,37.6,79.77916667,33.1,26.7,29.9,30.1,30.95,0,0,1,36,1.556302501,4.741257998,,,,,,,,,,
2010,7,180.8,278.2,203.7,77.47580645,33,27.4,30.2,29.9,30.1,35,0,36,5.111111111,0.708515322,2.030973677,,,,,,,,,,
2010,8,324.7,180.8,278.2,79.28225806,33.1,27.1,30.1,30.2,29.9,183,0,184,0.902173913,-0.044709735,0.956275015,,,,,,,,,,
2010,9,172.6,324.7,180.8,80.11666667,32.5,26.6,29.55,30.1,30.2,165,0,166,0.13253012,-0.877685407,0.415744077,,,,,,,,,,
2010,10,168.8,172.6,324.7,75.31854839,32.4,25.1,28.75,29.55,30.1,21,0,22,0.272727273,-0.56427143,0.568774388,,,,,,,,,,
2010,11,0.6,168.8,172.6,69.425,30.1,20.9,25.5,28.75,29.55,5,0,6,0.166666667,-0.77815125,0.459254273,,,,,,,,,,
2010,12,81,0.6,168.8,66.49193548,26.1,15.5,20.8,25.5,28.75,0,0,1,1,0,1,,,,,,,,,,
2011,1,0,81,0.6,69.65725806,23.4,12.2,17.8,20.8,25.5,0,0,1,1,0,1,1780.1,,,,,1359,6,219833,616,0.002802127
2011,2,0,0,81,55.19642857,28.7,16.9,22.8,17.8,20.8,0,0,1,1,0,1,,,,,,,,,,
2011,3,31.8,0,0,58.11290323,32.1,21.5,26.8,22.8,17.8,0,0,1,1,0,1,,,,,,,,,,
2011,4,111.8,31.8,0,65.31666667,33.5,23.2,28.35,26.8,22.8,0,0,1,1,0,1,,,,,,,,,,
2011,5,280.4,111.8,31.8,76.56451613,33.4,24.6,29,28.35,26.8,0,0,1,62,1.792391689,6.003794518,,,,,,,,,,
2011,6,302.9,280.4,111.8,81.35416667,32.6,26.3,29.45,29,28.35,61,0,62,4.129032258,0.615848276,1.851226285,,,,,,,,,,
2011,7,323.4,302.9,280.4,79.58870968,32.3,26.7,29.5,29.45,29,255,1,256,2.703125,0.431866129,1.540128923,,,,,,,,,,
2011,8,410.4,323.4,302.9,83.26612903,31.1,26.5,28.8,29.5,29.45,691,4,692,0.280346821,-0.552304365,0.575621838,,,,,,,,,,
2011,9,208.6,410.4,323.4,77.68333333,32.4,26.4,29.4,28.8,29.5,193,1,194,0.592783505,-0.22710389,0.796837994,,,,,,,,,,
2011,10,110.8,208.6,410.4,74.00806452,32.7,24.7,28.7,29.4,28.8,114,0,115,0.32173913,-0.492496116,0.611099115,,,,,,,,,,
2011,11,0,110.8,208.6,68.31666667,29.7,19.2,24.45,28.7,29.4,36,0,37,0.27027027,-0.568201724,0.566543324,,,,,,,,,,
2011,12,0,0,110.8,73.96370968,25,15,20,24.45,28.7,9,0,10,0.1,-1,0.367879441,,,,,,,,,,
2012,1,10,0,0,66.70967742,24.1,14.5,19.3,20,24.45,0,0,1,1,0,1,1325.2,,,,,641,1,,,
2012,2,1.2,10,0,52.50862069,28.5,16,22.25,19.3,20,0,0,1,1,0,1,,,,,,,,,,
2012,3,36.6,1.2,10,58.18145161,33,22.1,27.55,22.25,19.3,0,0,1,1,0,1,,,,,,,,,,
2012,4,269.7,36.6,1.2,70.15416667,33.5,23.7,28.6,27.55,22.25,0,0,1,1,0,1,,,,,,,,,,
2012,5,138.9,269.7,36.6,70.72580645,34.6,25.8,30.2,28.6,27.55,0,0,1,17,1.230448921,3.422765743,,,,,,,,,,
2012,6,190.1,138.9,269.7,78.08333333,33.2,26.9,30.05,30.2,28.6,10,0,17,6.411764706,0.806977577,2.241124115,,,,,,,,,,
